company1,company2,similarity,block_key,company1_processed,company2_processed,idx1,idx2,component_id,component_size
INDIAN NATIONAL ORGANIZATION FOR HUMAN RIGHTS PROTECTION,Indian National Organization for Human Rights Protection,1.000000000000001,name_first_word_indian,indian national organization for human rights protection,indian national organization for human rights protection,18778,21471,168,2
Aboriginal Aquaculture Association,Aboriginal Aquaculture Association,1.0000000000000009,geo_50.03_-125.25,aboriginal aquaculture association,aboriginal aquaculture association,26056,10602,4354,2
Stream Of Praise Music Ministries,Stream of Praise Music Ministries,1.0000000000000009,geo_33.71_-117.84,stream of praise music ministries,stream of praise music ministries,29470,27999,363,3
Builders & Contractors Insurance Services,Builders & Contractors Insurance Services,1.0000000000000009,geo_33.99_-118.26,builders contractors insurance services,builders contractors insurance services,18573,15710,4432,2
MPM Magdeburger Pilzmanufaktur,MPM Magdeburger Pilzmanufaktur,1.0000000000000007,name_first_word_mpm,mpm magdeburger pilzmanufaktur,mpm magdeburger pilzmanufaktur,1699,23812,229,5
Coast Rehabilitation Services,Coast Rehabilitation Services,1.0000000000000007,location_united_states_gresham,coast rehabilitation services,coast rehabilitation services,15840,24785,691,2
NADALVILLENA estudi d'arquitectura,NADALVILLENA estudi d'arquitectura,1.0000000000000007,geo_39.46_-0.36,nadalvillena estudi darquitectura,nadalvillena estudi darquitectura,17919,6551,1181,2
Energievision Franken,EVF,1.0000000000000007,email_domain_energievision-franken_de,energievision franken,evf,30626,30197,108,5
Infinity Plumbing Inc.,Infinity Plumbing Inc.,1.0000000000000007,geo_34.04_-118.38,infinity plumbing inc,infinity plumbing inc,19011,29247,1891,4
EVF - Energievision Franken GmbH,EVF,1.0000000000000007,name_first_word_evf,evf energievision franken,evf,17425,30197,108,5
Zhejiang Wuyi Machinery Co. Ltd.,Zhejiang Wuyi Machinery Co. Ltd.,1.0000000000000007,name_first_word_zhejiang,zhejiang wuyi machinery co ltd,zhejiang wuyi machinery co ltd,10352,5641,3874,2
Risk Management International,Risk Management International,1.0000000000000007,location_united_states_port_washington,risk management international,risk management international,5833,27763,4158,5
Risk Management International,RISK MANAGEMENT INTERNATIONAL,1.0000000000000007,location_united_states_port_washington,risk management international,risk management international,5833,32155,4158,5
Risk Management International,Risk management international,1.0000000000000007,location_united_states_port_washington,risk management international,risk management international,5833,7663,4158,5
Patriotic Productions Inc.,PATRIOTIC PRODUCTIONS INC.,1.0000000000000007,geo_41.26_-96.17,patriotic productions inc,patriotic productions inc,512,18121,4247,3
PATRIOTIC PRODUCTIONS INC.,PATRIOTIC PRODUCTIONS INC.,1.0000000000000007,geo_41.26_-96.17,patriotic productions inc,patriotic productions inc,18121,9630,4247,3
Arwood’s Furniture & Mattress,Arwood's Furniture & Mattress,1.0000000000000007,geo_38.77_-93.71,arwoods furniture mattress,arwoods furniture mattress,1656,18633,4292,2
TechsellIndia Infotech TSI,TechsellIndia Infotech TSI,1.0000000000000007,name_first_word_techsellindia,techsellindia infotech tsi,techsellindia infotech tsi,33088,8277,305,6
The Country Club of Maryland,The Country Club of Maryland,1.0000000000000007,geo_39.39_-76.59,the country club of maryland,the country club of maryland,23596,3805,1080,7
Patricia Valian Reser Center for the Creative Arts,Patricia Valian Reser Center for the Creative Arts,1.0000000000000007,geo_44.56_-123.27,patricia valian reser center for the creative arts,patricia valian reser center for the creative arts,24097,31928,414,4
STOCK-N-LOCK SELF STORAGE,STOCK-N-LOCK SELF STORAGE,1.0000000000000007,name_first_word_stocknlock,stocknlock self storage,stocknlock self storage,15171,22725,6068,2
La Canastilla Cubana,La Canastilla Cubana,1.0000000000000004,geo_25.81_-80.2,la canastilla cubana,la canastilla cubana,1529,17266,887,2
DEDICATED MRI CENTER PLLC,DEDICATED MRI CENTER PLLC,1.0000000000000004,geo_31.34_-94.73,dedicated mri center pllc,dedicated mri center pllc,1729,10497,904,2
Colonial Court Motor Inn,Colonial Court Motor Inn,1.0000000000000004,geo_-37.73_176.14,colonial court motor inn,colonial court motor inn,9904,7652,1226,2
Civil Employee Retirement Assistance,Civil Employee Retirement Assistance,1.0000000000000004,name_first_word_civil,civil employee retirement assistance,civil employee retirement assistance,25605,11579,2273,2
PRO-TECH AUTO SPECIALISTS LTD.,PRO-TECH AUTO SPECIALISTS LTD.,1.0000000000000004,name_first_word_protech,protech auto specialists ltd,protech auto specialists ltd,14552,10017,1895,6
Arizona Family Law Attorneys,Arizona Family Law Attorneys,1.0000000000000004,geo_33.48_-112.07,arizona family law attorneys,arizona family law attorneys,12486,2535,2822,2
ACE Heating and Cooling,ACE Heating and Cooling,1.0000000000000004,geo_27.96_-82.33,ace heating and cooling,ace heating and cooling,25406,26063,3473,3
Centroplast Engineering Plastics GmbH,Centroplast Engineering Plastics GmbH,1.0000000000000004,location_germany_marsberg,centroplast engineering plastics,centroplast engineering plastics,4712,5289,1813,4
Beauté Serene Estética Spa y Bienestar,Beauté Serene Estética Spa y Bienestar,1.0000000000000004,geo_39.43_-0.47,beaute serene estetica y bienestar,beaute serene estetica y bienestar,4021,11118,4394,2
St George's Episcopal Church,St. George's Episcopal Church,1.0000000000000004,geo_33.62_-117.71,st georges episcopal church,st georges episcopal church,21409,29297,4571,5
HAMLIN FIRE DEPARTMENT INC.,HAMLIN FIRE DEPARTMENT INC.,1.0000000000000004,geo_43.3_-77.92,hamlin fire department inc,hamlin fire department inc,19663,6429,5176,3
Sano Hospital for Animals,Sano Hospital For Animals,1.0000000000000004,name_first_word_sano,sano hospital for animals,sano hospital for animals,18617,13918,5194,3
Standard Chartered Securities India Limited,Standard Chartered Securities India Limited,1.0000000000000004,geo_19.17_72.86,standard chartered securities india,standard chartered securities india,867,11928,5770,2
Farmácia Central da Penha,Farmácia Central da Penha,1.0000000000000004,geo_38.72_-9.13,farmacia central da penha,farmacia central da penha,11673,1307,5776,2
Suresh Productions,Suresh Productions Pvt. Ltd.,1.0000000000000004,name_first_word_suresh,suresh productions,suresh productions pvt ltd,3968,22714,1038,3
PRO-TECH AUTO SPECIALISTS LTD.,PROTECHBASINGSTOKE,1.0000000000000004,location_united_kingdom_basingstoke,protech auto specialists ltd,protechbasingstoke,10017,1348,1895,6
123 Reg,123 Reg Ltd.,1.0000000000000002,name_first_word_123,123 reg,123 reg ltd,9418,26958,1,2
ESTECH,ESTech Co. Ltd.,1.0000000000000002,name_first_word_estech,estech,estech co ltd,4870,13735,112,2
Helmut Weidlich Hausverwaltung,Helmut Weidlich Hausverwaltung,1.0000000000000002,name_first_word_helmut,helmut weidlich hausverwaltung,helmut weidlich hausverwaltung,31178,19558,153,2
Medi Aid Centre Foundation,Medi Aid Centre Foundation,1.0000000000000002,name_first_word_medi,medi aid centre foundation,medi aid centre foundation,20329,13741,219,2
Nathan Lee Colkitt Architects,Nathan Lee Colkitt Architects,1.0000000000000002,name_first_word_nathan,nathan lee colkitt architects,nathan lee colkitt architects,32768,10638,232,2
Quincy Shore Dental Care,Quincy Shore Dental Care,1.0000000000000002,name_first_word_quincy,quincy shore dental care,quincy shore dental care,3516,25549,253,2
Shoes by Boudewijns,Shoes by Boudewijns,1.0000000000000002,name_first_word_shoes,shoes by boudewijns,shoes by boudewijns,12033,21535,284,2
TOPBOX STUDIOS LTD.,TOPBOX STUDIOS LTD.,1.0000000000000002,name_first_word_topbox,topbox studios ltd,topbox studios ltd,31611,24806,310,2
Kelly Medical Consulting,Kelly Medical Consulting,1.0000000000000002,location_united_states_fife,kelly medical consulting,kelly medical consulting,4048,1881,469,2
Plum Street Properties,Plum Street Properties,1.0000000000000002,location_united_states_merrifield,plum street properties,plum street properties,4192,31179,515,3
GENERALI COSTRUZIONI S.R.L.,Generali Costruzioni Srl.,1.0000000000000002,location_italy_villa_literno,generali costruzioni srl,generali costruzioni srl,4786,31346,523,4
Just Be Well Massage,Just Be Well Massage,1.0000000000000002,location_united_states_poway,just be well massage,just be well massage,20309,8877,600,2
Advanced Wireless Solutions,Advanced Wireless Solutions,1.0000000000000002,location_united_states_gray,advanced wireless solutions,advanced wireless solutions,20716,12204,639,5
Husqvarna Concept Store,Husqvarna Concept Store,1.0000000000000002,location_sweden_jrflla_kommun,husqvarna concept store,husqvarna concept store,15537,27956,686,2
Ascent Boise Real Estate,Ascent Boise Real Estate,1.0000000000000002,location_united_states_bonners_ferry,ascent boise real estate,ascent boise real estate,16240,16402,693,3
Motor Werks Cadillac,Motor Werks Cadillac,1.0000000000000002,geo_42.13_-88.14,motor werks cadillac,motor werks cadillac,1043,15615,857,2
Dentistry at Habersham,Dentistry At Habersham,1.0000000000000002,geo_32.45_-80.75,dentistry at habersham,dentistry at habersham,14564,2028,921,3
Penang Math Platform,Penang Math Platform,1.0000000000000002,geo_5.38_100.31,penang math platform,penang math platform,3629,16159,1016,2
Molly's Gluten-Free Bakery,Molly's Gluten-Free Bakery,1.0000000000000002,geo_43.1_-88.29,mollys glutenfree bakery,mollys glutenfree bakery,23161,6143,1159,4
Kinni Valley Chiro,Kinni Valley Chiro,1.0000000000000002,geo_44.86_-92.63,kinni valley chiro,kinni valley chiro,21832,6186,1162,5
Bliss Bedding Ltd.,Bliss Bedding,1.0000000000000002,geo_53.09_-1.84,bliss bedding ltd,bliss bedding,6203,11439,1164,4
Schep's Bakeries,Schep's Bakeries Ltd.,1.0000000000000002,geo_42.98_-80.6,scheps bakeries,scheps bakeries ltd,7361,27669,1220,4
